"x","y"
17509.4618795784,34323.8290161338
17498.4932401285,34338.5725507021
17507.1443532158,34333.5567636407
12063.7868682924,9408.90464955377
16495.8670583554,18229.9348892667
35125.8411383044,18123.9289323449
30159.5933837936,10889.8328499296
30150.2361701474,10886.3054584649
28738.0397996854,17836.5221778232
28730.854891107,17848.8887019124
28728.4033041491,17839.1938727495
13224.8001898387,20774.7946208501
35367.8353943661,29808.4770967885
28741.5010229359,18466.4348630681
28729.5668644819,18483.1041002677
28731.5280258376,18467.4048446469
28736.6175993415,18476.0127620227
37704.298371259,21904.1355944281
13322.5552138279,36563.9262613559
13308.9457342192,36580.5977312635
13326.9280887544,36573.3212286705
13310.8405368705,36566.8447523117
13317.0241126267,36574.7037108082
31106.5922981298,18777.4675700034
31116.5922976857,18777.4705502871
6926.71936493594,36294.276038798
21950.9713986216,13774.8163882524
26911.2599025695,18486.3287565763
26903.7633299761,18479.7104940135
13039.0171375185,19827.0883719001
18634.9863352299,8739.90798858058
14197.3707688623,29928.1693485412
14188.829919861,29933.3706847481
16035.398749876,34349.5593019707
16044.3497657571,34332.8932718527
16053.6975031672,34348.0573107818
16036.1377888441,34338.9724305083
16044.223722457,34344.8561423928
11758.9685972796,20791.2310071371
11775.8688115572,20780.889082283
11756.2723287794,20777.1770210436
11768.8158390173,20789.4254425168
11765.9326229359,20779.7613423878
25227.9633026221,11860.8993691399
30752.4547468741,20031.9443010789
30754.4669427669,20054.2925760499
30748.4475963065,20041.1063571861
30757.7251440221,20044.8382582754
12856.7611863452,20154.8937206791
12861.8491440465,20134.888763603
12846.4645846758,20146.3254291475
12864.3354213432,20148.1991873239
12855.857889746,20142.8952950598
13434.6074704989,24244.2636537527
13424.4626009196,24257.770903903
13425.2545083805,24247.8023116354
16070.6525090373,38773.556452511
16071.2126267909,38755.4362482099
16066.711307759,38764.365868973
19428.3993427173,19475.5855521941
30410.9782029029,23202.9729701777
30401.8110007942,23206.9682681014
29773.254446544,8993.09205983087
26421.5374199554,28283.7049245712
26412.210824031,28280.0973480354
38837.7624088142,28218.0858184793
38834.5034773628,28208.6307898748
12485.0447084462,18878.3610986527
11039.0653760233,21418.6780396678
9672.30570059825,39110.3608933111
9676.89794372629,39131.2413679653
9682.5620933396,39112.6736326754
9685.46072564823,39126.0762188138
9676.51881436879,39120.640989783
23927.6425139175,7759.67897352431
27631.5856639614,17215.0518396613
15607.0013336209,21706.6728363948
35097.0514429807,11803.0454537306
35079.5597460255,11808.1107874797
35087.1555056092,11801.6066014163
37741.4380912389,28854.8581809724
28532.9591015584,15001.9319707529
40092.6569586064,25350.3966827785
40099.1184709714,25369.6610337028
40103.3764410144,25349.6998373636
40090.9366176535,25363.4642036327
40099.9273288781,25359.0861905144
27636.3647245001,17846.9806016961
22940.193217087,27352.1362219135
23685.9155603961,29245.7671921717
15962.3388063802,20447.2481968518
15964.8234420054,20437.5617844195
10148.8037367358,24897.1802128625
10139.5362170217,24900.9369505894
8744.81603305638,35639.2019030419
8746.14526894774,35649.1131659254
21489.6785110153,28630.5064521493
23281.0261406091,24817.6246967032
23300.0880946918,24814.4100172212
23291.7490085747,24828.5165452876
23290.9834775923,24818.5458902281
28857.0759726988,9310.39876375634
28866.9269640734,9308.67888906938
16394.8983145541,31818.3289678995
16392.8732643723,31808.5361556497
15031.3747117071,17599.0126268433
15027.6376445566,17608.2880960558
21824.4944029862,23568.3345341983
38404.8805165894,17468.2086053437
28687.8683799303,10263.9014092884
28687.6777500267,10253.9032264415
32796.2259741588,26038.080906838
32795.4688223122,26028.1096119832
8589.53168687833,39131.4485019347
8574.93680411382,39124.9023005598
8584.69088917766,39122.6982632167
9313.56461519662,39122.1692792524
9617.85542207974,27750.0885806799
9609.9533533709,27743.9601787576
8182.89469194569,33441.0434408808
18582.9529236223,31169.4814591294
21981.1683293809,18828.6721523918
17136.6929057919,33072.3414112383
7118.53782174124,37867.4399440934
7113.57249550071,37876.1201246978
28597.4787909844,25116.6926608497
28582.5060582965,25106.7438962792
28592.4180300962,25108.0677724892
15346.3203726785,38767.9299353848
15337.4045559709,38772.4585347751
16212.782601861,32131.0475198001
25755.8184547257,8377.77314808943
16936.6209395375,30228.3561742145
16931.2380711808,30236.7837912119
31185.0879581905,32058.6684882606
31186.0896225873,32034.0450781996
31196.7529732754,32044.854875029
31187.6540936024,32049.0033900741
31180.3159332954,32042.2099076601
15143.8886725999,35296.7598993912
15127.3390369551,35300.9000372
15134.3471749168,35293.7666032206
15507.398367914,3387.72869199834
15495.585013493,3377.55387139032
15497.4042101218,3387.38700535799
34370.7314978711,15602.8071549926
34390.5402288484,15592.1692617314
34372.1069557216,15592.6080074672
34384.5886331295,15605.7444934863
34381.4157734982,15596.2611943895
14144.3533661384,21715.7860643819
35464.6089407369,15588.0505153955
35478.1389072241,15601.5204135337
35484.6781594282,15585.6748476719
35468.4693175225,15597.3619230326
35476.3316879285,15591.1826729488
15842.8117544983,32134.8389538054
15852.4104908096,32132.0346247899
42456.3773965656,21871.3729525986
42447.9742440795,21876.7939329798
16831.8038384271,12540.3813823714
14287.4364884699,16351.0086580887
14306.4931337644,16344.2172298235
14289.6411434635,16338.7123820834
14300.582423608,16355.0505768013
14296.6298162654,16345.8648871051
42240.337100332,18388.8529364718
42253.2389069495,18393.5989475491
42243.9911789695,18398.1614116053
15341.3120883311,38147.9932409821
15318.8516227837,38134.0897011669
15345.0344503311,38135.5934346994
15328.7389156841,38132.595163482
15335.8734078311,38139.6022328982
12518.0770267816,25827.0096435146
12526.2867852843,25844.9424185402
12529.5194038288,25831.4419911983
12520.673051893,25836.6667990804
16627.7492394039,39080.1067260466
16605.4345955052,39080.6606528193
16622.578764668,39088.9630228164
16617.6456936335,39072.3397436016
16615.334895449,39082.0690915628
16631.9773122394,41606.5155035946
12315.0797722968,20455.7002596471
12304.7350160027,20468.9720435557
12314.1701846202,20465.6588062408
29867.5412661774,24159.3726870163
29864.9698322753,24149.7089544203
29200.0225002073,35530.9350471996
13490.7389748963,36246.1216949287
13502.8045598398,36261.7222499489
13500.5279232757,36248.1653410886
13494.4399482348,36256.2419878477
12165.6947683157,27109.159546284
12171.7714987358,27090.1530160357
12158.0557218937,27099.479842281
12168.0898600356,27099.4506252167
34295.9640551173,31078.2753535122
34276.0570250408,31076.3106913011
34289.5506177079,31088.632109815
34286.0374104967,31069.4815338688
34285.5450365896,31079.4693962484
35326.3140079311,21595.9701463134
6944.43642860714,40720.8201229704
6954.02938387153,40705.3591029575
6953.69862853211,40716.9538474825
6945.30653495843,40710.8580491433
29741.9943291783,33310.6822479412
29724.1612060896,33319.7571710873
29740.0510785722,33328.2552003121
29731.8406992954,33310.4511542706
29734.1522417245,33320.1803180316
21110.1381635867,26728.8298500248
21119.04113034,26733.3836597474
25866.8143231269,27345.498764916
25855.3100812873,27333.5808428735
25865.1088905791,27335.6452630093
13232.4726720124,21406.6406596601
18810.1370682361,38432.4279358603
18803.1696919709,38439.6011964843
16429.469067808,38133.5197951184
9353.91235090438,14162.4312745999
31583.4057017935,35201.9088336186
31556.8819784606,35208.2957761855
31575.0565904605,35207.655630975
31563.6086289011,35200.8963049982
31573.0918770759,35197.7233151655
29284.2805945468,18788.0836719573
8383.80744435373,35643.9471694015
8378.72710343896,35652.5847753152
27984.0979090439,14055.8872881463
12234.6898056179,38468.8453436704
12228.9471406335,38477.0320279124
21141.4884811489,31144.0450589503
21129.4005176821,31154.6058062795
21139.3694261074,31153.8179605528
32651.7696351985,30775.5558403859
32628.9744511275,30776.2274786394
32645.1582646361,30766.2093261178
32635.8804871117,30783.7179018554
32641.7189666826,30775.599271657
18816.0158229728,7153.4771928052
18806.1325143666,7163.90189423384
18806.024870342,7153.90247568694
43022.2662329334,24069.7972186334
